site_id,type,hits,fails,max_retries,,num_stores,max_stores,memcpy_size,memcpy_max_size,undolog_size_avg,undolog_size_max
   0, INVALID,       0,       0,       0,,    1271,    1271,       0,               0,             inf,           20336
   1, INVALID,       0,       0,       0,,       0,       0,       0,               0,          0.0000,               0
   2, INVALID,       0,       0,       0,,       0,       0,       0,               0,          0.0000,               0
   3, INVALID,       0,       0,       0,,       0,       0,       0,               0,          0.0000,               0
   4, INVALID,       0,       0,       0,,       0,       0,       0,               0,          0.0000,               0
   5, INVALID,       0,       0,       0,,       0,       0,       0,               0,          0.0000,               0
   6, INVALID,       0,       0,       0,,       0,       0,       0,               0,          0.0000,               0
   7, INVALID,       0,       0,       0,,       0,       0,       0,               0,          0.0000,               0
   8, INVALID,       0,       0,       0,,       0,       0,       0,               0,          0.0000,               0
   9, INVALID,       0,       0,       0,,       0,       0,       0,               0,          0.0000,               0
  10, INVALID,       0,       0,       0,,       0,       0,       0,               0,          0.0000,               0
  11, INVALID,       0,       0,       0,,       0,       0,       0,               0,          0.0000,               0
  12, INVALID,       0,       0,       0,,       0,       0,       0,               0,          0.0000,               0
  13, INVALID,       0,       0,       0,,       0,       0,       0,               0,          0.0000,               0
  14, INVALID,       0,       0,       0,,       0,       0,       0,               0,          0.0000,               0
  15, INVALID,       0,       0,       0,,       0,       0,       0,               0,          0.0000,               0
  16, INVALID,       0,       0,       0,,       0,       0,       0,               0,          0.0000,               0
  17, INVALID,       0,       0,       0,,       0,       0,       0,               0,          0.0000,               0
  18, INVALID,       0,       0,       0,,       0,       0,       0,               0,          0.0000,               0
  19, INVALID,       0,       0,       0,,       0,       0,       0,               0,          0.0000,               0
  20, INVALID,       0,       0,       0,,       0,       0,       0,               0,          0.0000,               0
  21, INVALID,       0,       0,       0,,       0,       0,       0,               0,          0.0000,               0
  22, INVALID,       0,       0,       0,,       0,       0,       0,               0,          0.0000,               0
  23, INVALID,       0,       0,       0,,       0,       0,       0,               0,          0.0000,               0
  24, INVALID,       0,       0,       0,,       0,       0,       0,               0,          0.0000,               0
  25, INVALID,       0,       0,       0,,       0,       0,       0,               0,          0.0000,               0
  26, INVALID,       0,       0,       0,,       0,       0,       0,               0,          0.0000,               0
  27, INVALID,       0,       0,       0,,       0,       0,       0,               0,          0.0000,               0
  28, INVALID,       0,       0,       0,,       0,       0,       0,               0,          0.0000,               0
  29, INVALID,       0,       0,       0,,       0,       0,       0,               0,          0.0000,               0
  30, INVALID,       0,       0,       0,,       0,       0,       0,               0,          0.0000,               0
  31, INVALID,       0,       0,       0,,       0,       0,       0,               0,          0.0000,               0
  32, INVALID,       0,       0,       0,,       0,       0,       0,               0,          0.0000,               0
  33, INVALID,       0,       0,       0,,       0,       0,       0,               0,          0.0000,               0
  34, INVALID,       0,       0,       0,,       0,       0,       0,               0,          0.0000,               0
  35, INVALID,       0,       0,       0,,       0,       0,       0,               0,          0.0000,               0
  36, INVALID,       0,       0,       0,,       0,       0,       0,               0,          0.0000,               0
  37, INVALID,       0,       0,       0,,       0,       0,       0,               0,          0.0000,               0
  38, UNDOLOG,       1,       0,       0,,      26,      26,       0,               0,        416.0000,             416
  39, INVALID,       0,       0,       0,,       0,       0,       0,               0,          0.0000,               0
  40, UNDOLOG,       1,       0,       0,,    4530,    4530,       0,               0,      72480.0000,           72480
  41, INVALID,       0,       0,       0,,       0,       0,       0,               0,          0.0000,               0
  42, INVALID,       0,       0,       0,,       0,       0,       0,               0,          0.0000,               0
  43, INVALID,       0,       0,       0,,       0,       0,       0,               0,          0.0000,               0
  44, INVALID,       0,       0,       0,,       0,       0,       0,               0,          0.0000,               0
  45, INVALID,       0,       0,       0,,       0,       0,       0,               0,          0.0000,               0
  46, INVALID,       0,       0,       0,,       0,       0,       0,               0,          0.0000,               0
  47, INVALID,       0,       0,       0,,       0,       0,       0,               0,          0.0000,               0
  48, INVALID,       0,       0,       0,,       0,       0,       0,               0,          0.0000,               0
  49, INVALID,       0,       0,       0,,       0,       0,       0,               0,          0.0000,               0
  50, INVALID,       0,       0,       0,,       0,       0,       0,               0,          0.0000,               0
  51, UNDOLOG,       2,       0,       0,,    3571,    3562,       0,               0,      28568.0000,           56992
  52, INVALID,       0,       0,       0,,       0,       0,       0,               0,          0.0000,               0
  53, INVALID,       0,       0,       0,,       0,       0,       0,               0,          0.0000,               0
  54, INVALID,       0,       0,       0,,       0,       0,       0,               0,          0.0000,               0
  55, INVALID,       0,       0,       0,,       0,       0,       0,               0,          0.0000,               0
  56, UNDOLOG,       2,       0,       0,,    2238,    1119,       0,               0,      17904.0000,           17904
  57, INVALID,       0,       0,       0,,       0,       0,       0,               0,          0.0000,               0
  58, INVALID,       0,       0,       0,,       0,       0,       0,               0,          0.0000,               0
  59, UNDOLOG,       2,       0,       0,,    1004,     502,       0,               0,       8032.0000,            8032
  60, UNDOLOG,       2,       0,       0,,      22,      11,       0,               0,        176.0000,             176
  61, UNDOLOG,       2,       0,       0,,       4,       2,       0,               0,         32.0000,              32
  62, INVALID,       0,       0,       0,,       0,       0,       0,               0,          0.0000,               0
  63, INVALID,       0,       0,       0,,       0,       0,       0,               0,          0.0000,               0
  64, INVALID,       0,       0,       0,,       0,       0,       0,               0,          0.0000,               0
  65, INVALID,       0,       0,       0,,       0,       0,       0,               0,          0.0000,               0
  66, UNDOLOG,       2,       0,       0,,    2234,    1117,       0,               0,      17872.0000,           17872
  67, INVALID,       0,       0,       0,,       0,       0,       0,               0,          0.0000,               0
  68, INVALID,       0,       0,       0,,       0,       0,       0,               0,          0.0000,               0
  69, INVALID,       0,       0,       0,,       0,       0,       0,               0,          0.0000,               0
  70, INVALID,       0,       0,       0,,       0,       0,       0,               0,          0.0000,               0
  71, INVALID,       0,       0,       0,,       0,       0,       0,               0,          0.0000,               0
  72, INVALID,       0,       0,       0,,       0,       0,       0,               0,          0.0000,               0
  73, INVALID,       0,       0,       0,,       0,       0,       0,               0,          0.0000,               0
  74, INVALID,       0,       0,       0,,       0,       0,       0,               0,          0.0000,               0
  75, INVALID,       0,       0,       0,,       0,       0,       0,               0,          0.0000,               0
  76, INVALID,       0,       0,       0,,       0,       0,       0,               0,          0.0000,               0
  77, INVALID,       0,       0,       0,,       0,       0,       0,               0,          0.0000,               0
  78, INVALID,       0,       0,       0,,       0,       0,       0,               0,          0.0000,               0
  79, INVALID,       0,       0,       0,,       0,       0,       0,               0,          0.0000,               0
  80, INVALID,       0,       0,       0,,       0,       0,       0,               0,          0.0000,               0
  81, INVALID,       0,       0,       0,,       0,       0,       0,               0,          0.0000,               0
  82, INVALID,       0,       0,       0,,       0,       0,       0,               0,          0.0000,               0
  83, INVALID,       0,       0,       0,,       0,       0,       0,               0,          0.0000,               0
  84, INVALID,       0,       0,       0,,       0,       0,       0,               0,          0.0000,               0
  85, INVALID,       0,       0,       0,,       0,       0,       0,               0,          0.0000,               0
  86, INVALID,       0,       0,       0,,       0,       0,       0,               0,          0.0000,               0
  87, INVALID,       0,       0,       0,,       0,       0,       0,               0,          0.0000,               0
  88, UNDOLOG,   82836,       0,       0,,22811097,     377,21061888,             256,       4914.5459,            6544
  89, INVALID,       0,       0,       0,,       0,       0,       0,               0,          0.0000,               0
  90, INVALID,       0,       0,       0,,       0,       0,       0,               0,          0.0000,               0
  91, INVALID,       0,       0,       0,,       0,       0,       0,               0,          0.0000,               0
